,Message,Category
3018,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,ham
2140,But i juz remembered i gotta bathe my dog today..,ham
1728,I went to project centre,ham
2341,I will take care of financial problem.i will help:),ham
1552,In e msg jus now. U said thanks for gift.,ham
885,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,ham
1722,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,ham
5537,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
3830,"Sure, I'll see if I can come by in a bit",ham
814,I borrow ur bag ok.,ham
401,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",spam
5420,I dont know oh. Hopefully this month.,ham
2253,Den wat will e schedule b lk on sun?,ham
1896,"Uh, heads up we don't have THAT much left",ham
1714,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam
3692,"Sir, i am waiting for your call, once free please call me.",ham
1937,"My planning usually stops at ""find hella weed, smoke hella weed""",ham
5390,Nt joking seriously i told,ham
4465,Ranjith cal drpd Deeraj and deepak 5min hold,ham
2554,Ü give me some time to walk there.,ham
1327,"Sorry, was in the bathroom, sup",ham
4303,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,ham
4510,Ü takin linear algebra today?,ham
4509,Not able to do anything.,ham
5526,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,spam
4862,Nokia phone is lovly..,ham
4638,Oh ho. Is this the first time u use these type of words,ham
736,Then why no one talking to me,ham
1478,Why you keeping me away like this,ham
1113,So that means you still think of teju,ham
3149,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.,ham
4788,Ü thk of wat to eat tonight.,ham
2186,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
1244,No shoot me. I'm in the docs waiting room. :/,ham
4760,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,spam
3783,How r ü going to send it to me?,ham
717,#ERROR!,spam
5180,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",ham
3840,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",ham
4100,If u dun drive then how i go 2 sch.,ham
2013,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",ham
650,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
4560,Think + da. You wil do.,ham
5424,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,ham
1207,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
639,"What will we do in the shower, baby?",ham
4782,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,ham
584,my ex-wife was not able to have kids. Do you want kids one day?,ham
3646,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,spam
473,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",ham
410,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
4065,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,ham
5125,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",ham
3469,yay! finally lol. i missed our cinema trip last week :-(,ham
4816,Ü no home work to do meh...,ham
1115,No no:)this is kallis home ground.amla home town is durban:),ham
4642,Havent.,ham
3955,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham
110,Dont worry. I guess he's busy.,ham
1047,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",ham
2506,Congrats kano..whr s the treat maga?,ham
692,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",ham
3222,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam
1765,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,spam
2785,"K, wat s tht incident?",ham
1182,You flippin your shit yet?,ham
4819,How's ur paper?,ham
5476,Yes princess! I want to please you every night. Your wish is my command...,ham
480,When're you guys getting back? G said you were thinking about not staying for mcr,ham
5547,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",spam
3812,Excellent! Wish we were together right now!,ham
3401,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam
2426,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,ham
4455,I'm home. Ard wat time will u reach?,ham
1336,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",ham
245,U don't remember that old commercial?,ham
4526,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,ham
38,Anything lor... U decide...,ham
4032,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham
454,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ham
2087,Dude how do you like the buff wind.,ham
2974,Happy New Year Princess!,ham
4424,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,ham
2148,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham
1615,Me sef dey laugh you. Meanwhile how's my darling anjie!,ham
1621,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham
4470,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",ham
1755,How is your schedule next week? I am out of town this weekend.,ham
1624,"Ah, well that confuses things, doesn‘t it?",ham
3256,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,ham
3359,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,ham
1356,Convey my regards to him,ham
3400,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",ham
4366,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,ham
3236,"Yes, princess. Toledo.",ham
2526,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham
2083,I'm done oredi...,ham
96,Watching telugu movie..wat abt u?,ham
186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham
3369,"Hey elaine, is today's meeting still on?",ham
2380,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",ham
1397,Shall i start from hear.,ham
1618,Did u download the fring app?,ham
2979,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,ham
5527,"Total disappointment, when I texted you was the craziest shit got :(",ham
3192,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,spam
446,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",ham
4517,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
3788,WHORE YOU ARE UNBELIEVABLE.,ham
206,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham
3988,Ringtone Club: Gr8 new polys direct to your mobile every week !,spam
409,Headin towards busetop,ham
1260,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
1075,Aight ill get on fb in a couple minutes,ham
831,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam
3354,I emailed yifeng my part oredi.. Can ü get it fr him..,ham
4536,IM LATE TELLMISS IM ON MY WAY,ham
1296,TELL HER I SAID EAT SHIT.,ham
608,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,ham
1138,LOL ... No just was busy,ham
4328,Dude got a haircut. Now its breezy up there,ham
493,"Sorry,in meeting I'll call later",ham
3698,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam
5155,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,ham
4996,"Just looked it up and addie goes back Monday, sucks to be her",ham
808,Boooo you always work. Just quit.,ham
4988,No rushing. I'm not working. I'm in school so if we rush we go hungry.,ham
1447,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham
3140,Is ur lecture over?,ham
21,I‘m going to try for 2 months ha ha only joking,ham
1237,How much are we getting?,ham
3017,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",ham
2303,We can make a baby in yo tho,ham
1218,"Damn, can you make it tonight or do you want to just wait til tomorrow",ham
291,Hey you told your name to gautham ah?,ham
3088,So i asked how's anthony. Dad. And your bf,ham
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham
4671,"I didnt get ur full msg..sometext is missing, send it again",ham
587,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",ham
2628,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,ham
4468,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham
1201,Otherwise had part time job na-tuition..,ham
684,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
679,Cause I'm not freaky lol,ham
2691,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p,spam
219,I have to take exam with march 3,ham
3681,I cant pick the phone right now. Pls send a message,ham
2444,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,ham
2262,Did you show him and wot did he say or could u not c him 4 dust?,ham
524,"That's very rude, you on campus?",ham
5273,Its too late:)but its k.wish you the same.,ham
4931,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham
3388,So u workin overtime nigpun?,ham
1038,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",ham
1436,Dad went out oredi...,ham
1140,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham
2544,Package all your programs well,ham
143,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham
4736,Oh k:)after that placement there ah?,ham
2752,Play w computer? Aiyah i tok 2 u lor?,ham
2904,Tell me pa. How is pain de.,ham
2328,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",spam
1854,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,ham
5566,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
5111,I've reached sch already...,ham
2114,"Yeah, don't go to bed, I'll be back before midnight",ham
4971,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
5444,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham
4734,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,ham
523,Were gonna go get some tacos,ham
4372,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham
1875,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,spam
2756,We r outside already.,ham
361,Ha ha cool cool chikku chikku:-):-DB-),ham
3986,"Whatever, juliana. Do whatever you want.",ham
1571,No:-)i got rumour that you going to buy apartment in chennai:-),ham
4359,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam
498,Some of them told accenture is not confirm. Is it true.,ham
3957,Haha... dont be angry with yourself... Take it as a practice for the real thing. =),ham
229,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham
5082,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),ham
5489,Oh thanks a lot..i already bought 2 eggs ..,ham
4464,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,ham
2096,"Probably, want to pick up more?",ham
2172,I wont. So wat's wit the guys,ham
1652,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham
1409,"I've got ten bucks, jay is being noncomittal",ham
3297,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham
356,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",ham
3446,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",ham
4259,I am late. I will be there at,ham
207,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham
1633,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham
4664,No. Yes please. Been swimming?,ham
2677,* Am on a train back from northampton so i'm afraid not!,ham
1289,Happy new year to u too!,ham
4873,Hi dis is yijue i would be happy to work wif ü all for gek1510...,ham
4275,Ball is moving a lot.will spin in last :)so very difficult to bat:),ham
3723,I'm in a movie... Collect car oredi...,ham
1101,You busy or can I come by at some point and figure out what we're doing tomorrow,ham
4747,Orh i tot u say she now still dun believe.,ham
3324,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",ham
4294,You best watch what you say cause I get drunk as a motherfucker,ham
4419,"When you get free, call me",ham
982,Reckon need to be in town by eightish to walk from * carpark.,ham
4242,Detroit. The home of snow. Enjoy it.,ham
3583,You are right. Meanwhile how's project twins comin up,ham
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham
4281,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
4626,I'm on the bus. Love you,ham
2653,No need for the drug anymore.,ham
4255,"How about clothes, jewelry, and trips?",ham
2445,"Yes but i dont care! I need you bad, princess!",ham
3007,Also hi wesley how've you been,ham
1127,Not tonight mate. Catching up on some sleep. This is my new number by the way.,ham
4338,on a Tuesday night r u 4 real,ham
4246,Is toshiba portege m100 gd?,ham
1112,"Awesome, think we can get an 8th at usf some time tonight?",ham
1360,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...",ham
2746,R ü going 4 today's meeting?,ham
105,Umma my life and vava umma love you lot dear,ham
2797,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
4513,Now project pa. After that only i can come.,ham
4292,Call me when u're done...,ham
5491,U studying in sch or going home? Anyway i'll b going 2 sch later.,ham
61,Ha ha ha good joke. Girls are situation seekers.,ham
2142,Alright took the morphine. Back in yo.,ham
2631,No way I'm going back there!,ham
5363,"I think your mentor is , but not 100 percent sure.",ham
1080,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,ham
2493,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,ham
1145,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,ham
387,Customer place i will call you.,ham
3339,"K, if u bored up just come to my home..",ham
4938,G wants to know where the fuck you are,ham
2376,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ham
1808,Do have a nice day today. I love you so dearly.,ham
4399,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",ham
1399,No did you check? I got his detailed message now,ham
1062,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,ham
3992,I am on the way to ur home,ham
3020,Wat time do u wan 2 meet me later?,ham
1945,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",ham
3733,Gud mrng dear hav a nice day,ham
1230,Jus ans me lar. U'll noe later.,ham
3697,I am in tirupur.  call you da.,ham
2943,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3.",ham
3778,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",spam
1642,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",ham
4295,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam
4063,Hi dear we saw dear. We both are happy. Where you my battery is low,ham
5261,I absolutely LOVE South Park! I only recently started watching the office.,ham
2978,"Ok omw now, you at castor?",ham
848,I am in office:)whats the matter..msg me now.i will call you at break:).,ham
3051,Ok,ham
1188,There's no point hangin on to mr not right if he's not makin u happy,ham
4392,The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham
26,Lol your always so convincing.,ham
5185,I just cooked a rather nice salmon a la you,ham
3908,No that just means you have a fat head,ham
322,Hey... Why dont we just go watch x men and have lunch... Haha,ham
2715,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham
4108,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
2989,Do you still have the grinder?,ham
121,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam
3640,Wat's da model num of ur phone?,ham
4673,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",spam
1241,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,ham
4417,V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham
4833,Rats. Hey did u ever vote for the next themes?,ham
685,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,ham
432,Does she usually take fifteen fucking minutes to respond to a yes or no question,ham
868,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,spam
5263,Pls speak with me. I wont ask anything other then you friendship.,ham
3709,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam
4915,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,ham
3815,Can. Dunno wat to get 4 her...,ham
212,Home so we can always chat,ham
4001,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",spam
4150,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",ham
4327,That seems unnecessarily hostile,ham
1517,I need to come home and give you some good lovin...,ham
4943,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
5181,K sure am in my relatives home. Sms me de. Pls:-),ham
5328,Sweet heart how are you?,ham
371,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",ham
507,"Maybe westshore or hyde park village, the place near my house?",ham
2694,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham
4229,Have you started in skye,ham
377,You could have seen me..i did't recognise you Face.:),ham
3620,8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity,spam
869,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,spam
5250,Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,spam
3071,I'm now but have to wait till 2 for the bus to pick me.,ham
148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham
2520,Ok. I only ask abt e movie. U wan ktv oso?,ham
1295,Aiyah u did ok already lar. E nydc at wheellock?,ham
1160,Yun buying... But school got offer 2000 plus only...,ham
1129,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam
2514,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,spam
